0,1,2,3,gold formula
"( ( ( x_2 >= 0.133 or x_2 >= 0.133 ) or ( x_0 >= 0.333 or x_2 >= 0.233 ) ) or ( ( x_2 >= 0.1632 until[1,28] x_2 >= 0.233 ) and ( x_2 >= 0.2332 or x_0 >= 0.334 ) ) )","( ( ( ( x_2 >= 0.1155 or x_2 >= -0.0525 ) or ( x_2 >= 0.1125 or x_2 >= -0.1125 ) ) or ( ( x_2 >= 0.2155 and x_2 >= -0.1225 ) and ( x_2 >= 0.2225 until[11,21] x_2 >= -0.1525 ) ) ) or ( ( ( x_2 >= 0.5555 until[15,22] x_2 >= -0.1525 ) or ( x_2 >= 0.1555 until[11,21] x_2 >= -0.1555 ) ) or ( ( x_2 >= 0.5555 until[21,26] x_2 >= -0.1555 ) and ( x_2 >= 0.2555 until[21,26] x_2 >= -0.1555 ) ) ) )",((x_2>= 0.1137orx_2>= 0.0389)or(x_2>= 0.0337andx_0>= 0.0999))or((x_2>= 0.0367andx_2>= 0.039)and(x_0>= 0.0997andx_2>= 0.099))),"( x_2 >= 0.1929 or ( x_0 >= 0.2229 until[19,21] x_0 >= 0.9229 ) )","always[0,17] ( not ( ( x_2 <= 0.1114 and ( not ( x_0 >= 1.2056 ) and eventually[6,19] ( not ( eventually[1,11] ( always[6,14] ( x_2 >= 0.8488 ) ) ) ) ) ) ) )"
"( ( ( x_2 >= -0.3632 or x_2 >= -0.333 ) or ( x_2 >= -0.363 or x_2 >= -0.426 ) ) until[1,18] ( ( x_2 >= -0.446 or x_2 >= -0.4442 ) or ( x_2 >= -0.446 or x_2 >= -0.444 ) ) )","( ( ( ( x_2 >= -0.5155 until[1,21] x_2 >= -0.4155 ) or ( x_2 >= -0.4155 until[20,29] x_2 >= -0.4555 ) ) or ( ( x_2 >= -0.4555 until[25,33] x_2 >= -0.4555 ) or ( x_2 >= -0.4555 until[20,29] x_2 >= -0.4555 ) ) ) or ( ( ( x_2 >= -0.4555 until[25,30] x_2 >= -0.4555 ) and ( x_2 >= -0.4555 until[20,29] x_2 >= -0.4555 ) ) and ( ( x_2 >= -0.4555 until[20,29] x_2 >= -0.4555 ) until[2,24] ( x_2 >= -0.4555 or x_2 >= -0.4555 ) ) ) )","((x_2>=-0.3637orx_2>=-0.3969)and(x_2>=-0.3937orx_2>=-0.396))or((x_2>=-0.3967until[10,19]x_2>=-0.3966)until[10,19](x_2>=-0.3937orx_2>=-0.3999)))","( x_2 >= -0.4922 until[19,21] x_2 >= -0.4922 )","eventually[15,20] ( x_2 >= -0.4561 )"
( ( ( x_2 >= 0.233 or x_2 >= 0.333 ) or ( x_1 >= 0.333 or x_2 >= 0.333 ) ) and ( ( x_1 >= 0.333 or x_2 >= 0.333 ) or ( x_1 >= 0.3332 and x_2 >= 0.333 ) ) ),"( ( ( ( x_2 >= 0.2555 or x_2 >= 0.2155 ) or ( x_2 >= 0.2125 or x_2 >= -0.1525 ) ) or ( ( x_2 >= 0.2155 and x_1 >= 0.2225 ) and ( x_2 >= 0.2225 or x_2 >= -0.2225 ) ) ) or ( ( ( x_2 >= 0.5555 or x_2 >= 0.2555 ) and ( x_2 >= 0.2555 until[11,21] x_2 >= -0.2555 ) ) or ( ( x_2 >= 0.5555 until[15,26] x_2 >= -0.1555 ) and ( x_2 >= 0.2555 until[11,21] x_2 >= 0.2555 ) ) ) )",((x_2>= 0.0337orx_1>= 0.1387)or(x_2>= 0.0337andx_1>= 0.1987))or((x_2>= 0.0967andx_1>= 0.199)and(x_2>= 0.0937andx_1>= 0.099))),( x_2 >= 0.3929 or x_1 >= 1.0629 ),"( ( always[8,11] ( x_1 >= 1.0839 ) or x_2 >= 0.3119 ) or x_0 >= 2.5607 )"
not ( ( ( x_2 >= 0.233 or x_2 >= 0.233 ) and ( x_2 >= 0.233 or x_2 >= 0.233 ) ) ),"not ( ( ( ( x_2 >= -0.0515 or x_2 >= -0.0555 ) or ( x_2 >= -0.0555 until[1,15] x_2 >= -0.1555 ) ) or ( ( x_2 >= 0.2555 until[10,21] x_2 >= -0.2555 ) until[1,19] ( x_2 >= -0.2555 or x_2 >= -0.2555 ) ) ) )",((x_2<= 0.1377orx_2<= 0.1397)and(x_2<= 0.1377orx_2<= 0.239))or((x_2<= 0.0377andx_2<= 0.039)and(x_2<= 0.0377andx_2<= 0.239))),"( x_2 <= 0.2929 until[11,18] x_2 <= 0.2923 )","always[0,17] ( x_2 <= 0.2851 )"
"( ( ( x_2 >= 0.8332 or x_2 >= 0.2232 ) or ( x_2 >= 0.8332 or x_2 >= 0.2232 ) ) until[23,33] ( ( x_2 >= 0.8232 or x_2 >= -0.2532 ) and ( x_2 >= 0.9232 or x_2 >= 0.9232 ) ) )","( ( ( x_2 >= -0.1555 or x_2 >= -0.1525 ) or ( x_2 >= 0.8255 until[10,25] x_2 >= 0.9555 ) ) until[1,21] ( ( x_2 >= 0.8555 or x_2 >= -0.2555 ) or ( x_2 >= 0.9555 until[12,20] x_2 >= 0.9555 ) ) )","((x_2>= 0.7111orx_2>= 0.7299)and(x_2>= 0.6631orx_2>= 0.6699))until[10,28]((x_2>= 0.6631orx_2>= 0.6999)or(x_2>= 0.6631until[12,29]x_2>= 0.6999)))","eventually[19,21] ( x_2 >= 0.8623 )","eventually[17,20] ( x_2 >= 0.8623 )"
"( ( ( x_2 <= -0.366 or x_2 <= -0.336 ) and ( x_2 <= -0.366 or x_2 <= -0.366 ) ) until[1,18] ( ( x_2 <= -0.366 or x_2 <= -0.366 ) or ( x_2 <= -0.366 or x_2 <= -0.366 ) ) )","( ( ( ( x_2 <= -0.2555 or x_2 <= -0.2555 ) or ( x_2 <= -0.2555 and x_2 <= -0.2555 ) ) until[1,19] ( ( x_2 <= -0.2555 or x_2 <= -0.2555 ) and ( x_2 <= -0.2555 or x_2 <= -0.2555 ) ) ) until[1,19] ( ( ( x_2 <= -0.5555 or x_2 <= -0.2555 ) or ( x_2 <= -0.5555 or x_2 <= -0.2555 ) ) or ( ( x_2 <= -0.5555 or x_2 <= -0.2555 ) or ( x_2 <= -0.2955 or x_2 <= -0.2655 ) ) ) )","(((x_2<=-0.2377orx_2<=-0.2997)and(x_2<=-0.2937orx_2<=-0.299))or((x_2<=-0.0967andx_2<=-0.099)and(x_2<=-0.0977andx_2<=-0.299)))until[10,19](((x_2<=-0.0977orx_2<=-0.299)or(x_2<=-0.2937andx_2<=-0.299))or((x_2<=-0.2977andx_2<=-0.299)and(x_2<=-0.2977orx_2<=-0.299))))","( x_2 <= -0.3922 until[19,21] x_0 >= -1.2222 )","eventually ( ( ( always[3,13] ( always[10,20] ( ( ( x_0 >= -0.9537 and ( x_0 >= -0.8489 or x_1 >= -2.1671 ) ) or ( x_1 <= -1.4429 or ( ( x_1 >= -0.1098 and ( ( always[8,inf] ( not ( x_0 >= 0.2555 ) ) until x_0 <= -0.1813 ) and ( x_1 >= 1.6089 or always ( x_0 <= -0.9625 ) ) ) ) and ( x_0 <= -0.4067 until[9,14] always[17,inf] ( x_2 <= 0.3486 ) ) ) ) ) ) ) or x_2 <= -2.3418 ) and x_2 <= -0.3233 ) )"
"( ( ( x_2 <= -0.565 or x_2 <= -0.556 ) or ( x_2 <= -0.566 or x_2 <= -0.666 ) ) until[1,18] ( ( x_2 <= -0.566 or x_2 <= -0.6662 ) and ( x_2 <= -0.666 or x_2 <= -0.666 ) ) )","( ( ( ( x_2 <= -0.7155 or x_2 <= -0.7555 ) or ( x_2 <= -0.7555 and x_2 <= -0.7555 ) ) until[1,21] ( ( x_2 <= -0.7555 or x_2 <= -0.5555 ) or ( x_2 <= -0.5555 until[2,20] x_2 <= -0.5555 ) ) ) or ( ( ( x_2 <= -0.5555 or x_2 <= -0.5555 ) until[20,22] ( x_2 <= -0.5555 until[2,24] x_2 <= -0.5555 ) ) and ( ( x_2 <= -0.5555 until[20,22] x_2 <= -0.5555 ) or ( x_2 <= -0.5555 until[2,24] x_2 <= -0.2555 ) ) ) )","(((x_2<=-0.5677andx_2<=-0.589)and(x_2<=-0.5937orx_2<=-0.299))or((x_2<=-0.5967andx_2<=-0.2997)and(x_2<=-0.6977andx_2<=-0.699)))until[1,19](((x_2<=-0.6977orx_2<=-0.699)and(x_2<=-0.6937orx_2<=-0.699))or((x_2<=-0.6977andx_2<=-0.699)and(x_2<=-0.6977andx_2<=-0.699))))","eventually[19,21] ( x_2 <= -0.6922 )","eventually[15,18] ( x_2 <= -0.6953 )"
"( ( ( x_2 >= 0.2332 or x_2 >= 0.233 ) or ( x_2 >= 0.2332 or x_2 >= 0.2332 ) ) until[1,28] ( ( x_2 >= 0.3332 or x_2 >= 0.3332 ) or ( x_2 >= 0.3332 or x_2 >= 0.2332 ) ) )","( ( ( ( x_2 >= -0.1555 or x_2 >= -0.1555 ) or ( x_2 >= -0.1555 or x_2 >= -0.1555 ) ) until[1,19] ( ( x_2 >= 0.2555 or x_2 >= -0.1555 ) and ( x_2 >= -0.1555 or x_2 >= -0.1555 ) ) ) or ( ( ( x_2 >= 0.5555 or x_2 >= -0.1555 ) until[29,33] ( x_2 >= -0.1555 until[2,15] x_2 >= -0.1555 ) ) and ( ( x_2 >= 0.5555 until[25,33] x_2 >= -0.1555 ) and ( x_2 >= -0.1555 until[25,30] x_2 >= -0.1555 ) ) ) )","((x_2>= 0.1131orx_2>= 0.0389)and(x_2>= 0.0337orx_2>= 0.0399))until[10,28]((x_2>= 0.0367orx_2>= 0.0399)or(x_2>= 0.0337orx_2>= 0.0399)))","( x_2 >= 0.2929 until[19,21] x_0 <= 2.0623 )","not ( always[15,21] ( ( not ( always[8,19] ( x_0 <= 1.9548 ) ) or x_2 <= 0.2941 ) ) )"
"( ( ( x_2 >= -0.6632 or x_2 >= -0.663 ) or ( x_2 >= -0.066 or x_2 >= -0.064 ) ) until[1,18] ( ( x_2 >= -0.066 or x_2 >= -0.064 ) or ( x_2 >= -0.066 or x_2 >= -0.064 ) ) )","( ( ( ( x_2 >= -0.5555 or x_2 >= -0.7555 ) or ( x_2 >= -0.7555 until[2,25] x_2 >= -0.7555 ) ) or ( ( x_2 >= -0.7555 until[2,20] x_2 >= -0.5555 ) or ( x_2 >= -0.7555 until[20,29] x_2 >= -0.4555 ) ) ) or ( ( ( x_2 >= -0.5555 until[25,33] x_2 >= -0.5555 ) and ( x_2 >= -0.5555 until[20,29] x_2 >= -0.4555 ) ) and ( ( x_2 >= -0.5555 until[20,29] x_2 >= -0.4555 ) or ( x_2 >= -0.5555 until[2,24] x_2 >= -0.4555 ) ) ) )",((x_2>=-0.7337andx_2>=-0.7689)or(x_2>=-0.6937andx_2>=-0.699))and((x_2>=-0.6937orx_2>=-0.699)or(x_2>=-0.6937andx_2>=-0.699))),"( x_2 >= -0.7922 or ( x_2 >= -0.2222 until[16,20] x_2 >= -0.2922 ) )","always[5,11] ( x_2 >= -0.7778 )"
( ( ( x_2 <= -0.465 or x_2 <= -0.456 ) or ( x_2 <= -0.456 or x_2 <= -0.566 ) ) and ( ( x_2 <= -0.466 or x_2 <= -0.566 ) or ( x_2 <= -0.466 or x_2 <= -0.566 ) ) ),"( ( ( x_2 <= -0.6155 or x_2 <= -0.6555 ) and ( x_2 <= -0.5555 or x_2 <= -0.6555 ) ) until[1,10] ( ( x_2 <= -0.5555 or x_2 <= -0.5555 ) or ( x_2 <= -0.5555 until[2,20] x_2 <= -0.5555 ) ) )",((x_2<=-0.5377orx_2<=-0.589)and(x_2<=-0.5837orx_2<=-0.599))or((x_2<=-0.5977andx_2<=-0.599)and(x_2<=-0.5977andx_2<=-0.599))),"( x_2 <= -0.5929 until[1,10] x_2 <= -0.5923 )",not ( x_2 >= -0.5734 )
"( ( ( x_2 <= 0.233 or x_2 <= 0.233 ) or ( x_2 <= 0.333 or x_2 <= 0.233 ) ) until[1,28] ( ( x_2 <= 0.3332 or x_2 <= 0.333 ) or ( x_2 <= 0.3332 or x_2 <= -0.156 ) ) )","not ( ( ( ( x_2 >= -0.0555 or x_2 >= -0.1555 ) until[1,21] ( x_2 >= -0.1555 until[1,15] x_2 >= -0.1555 ) ) or ( ( x_2 >= 0.4255 until[21,24] x_2 >= -0.2555 ) until[1,19] ( x_2 >= -0.2555 or x_2 >= -0.2555 ) ) ) )","((x_2<= 0.1377orx_2<= 0.1397)and(x_2<= 0.2977orx_2<= 0.299))or((x_2<= 0.2977andx_2<= 0.299)until[10,28](x_2<= 0.3377orx_2<= 0.339)))","eventually[15,17] ( x_2 <= 0.3922 )","eventually[15,17] ( x_2 <= 0.3346 )"
( ( ( x_2 <= 0.113 or x_2 <= 0.133 ) and ( x_0 <= 0.333 or x_2 <= 0.153 ) ) and ( ( x_2 <= 0.161 or x_0 <= 0.336 ) or ( x_2 <= 0.166 and x_2 <= 0.166 ) ) ),"( ( ( ( x_2 <= -0.0055 or x_2 <= -0.0055 ) or ( x_2 <= -0.0055 or x_2 <= -0.0555 ) ) and ( ( x_2 <= 0.2155 or x_2 <= -0.0555 ) or ( x_2 <= -0.0555 and x_0 <= 0.2222 ) ) ) until[1,10] ( ( ( x_2 <= 0.2255 or x_2 <= -0.0555 ) or ( x_2 <= -0.1555 or x_2 <= -0.1555 ) ) or ( ( x_2 <= -0.1555 or x_2 <= -0.2555 ) and ( x_2 <= -0.1555 until[1,19] x_2 <= -0.1555 ) ) ) )",((x_2<= 0.1377andx_2<= 0.038)and(x_0<= 0.0377orx_0<= 0.199))and((x_2<= 0.0377orx_0<= 0.299)and(x_2<= 0.0377andx_0<= 0.099))),"( x_2 <= 0.0929 until[16,18] x_0 <= 1.0624 )","eventually[2,19] ( ( x_2 <= -0.014 and eventually[18,inf] ( always[8,19] ( x_0 <= 0.9532 ) ) ) )"
"( ( ( ( x_1 >= -0.122 or x_1 >= -0.123 ) or ( x_1 >= -0.123 and x_1 >= -0.223 ) ) until[1,inf] ( ( x_1 >= -0.223 or x_1 >= -0.223 ) or ( x_1 >= -0.2232 and x_1 >= -0.2232 ) ) ) or ( ( ( x_1 >= -0.2234 or x_1 >= -0.2232 ) and ( x_1 >= -0.2232 until[2,29] x_1 >= -0.2232 ) ) until[2,inf] ( ( x_1 >= -0.2632 or x_1 >= -0.2632 ) or ( x_1 >= -0.2632 until[2,29] x_1 >= -0.6632 ) ) ) )","( ( x_0 <= -0.8225 or x_0 <= -0.8225 ) until[29,32] ( x_0 <= -0.8225 or x_0 <= -0.9225 ) )","(((x_1>= 0.6232orx_1>= 0.1997)or(x_1>= 0.2637andx_1>= 0.1997))until[12,20]((x_1>= 0.2637orx_1>= 0.2997)or(x_1>= 0.2637andx_1>= 0.2997)))or(((x_1>= 0.2637andx_1>= 0.2997)and(x_0>=-0.6637andx_0>=-0.6997))until[15,21]((x_1>= 0.6631orx_0>=-0.699)or(x_0>=-0.6937andx_0>=-0.699))))",( x_1 <= -1.2922 or x_1 <= 1.2922 ),"( x_2 <= -1.4828 or always[2,11] ( x_2 >= 1.215 ) )"
"( ( ( ( x_2 >= -0.563 or x_0 >= -0.054 ) or ( x_0 >= -0.164 or x_2 >= -0.063 ) ) until[1,inf] ( ( x_2 >= -0.263 or x_2 >= -0.063 ) or ( x_2 >= -0.166 or x_2 >= -0.066 ) ) ) until[1,inf] ( ( ( x_2 >= -0.266 or x_1 >= -0.066 ) or ( x_1 >= -0.166 or x_1 >= -0.166 ) ) or ( ( x_1 >= -0.166 until[1,inf] x_1 >= -0.066 ) or ( x_1 >= -0.166 until[1,inf] x_1 >= -0.066 ) ) ) )","( ( ( ( x_2 <= 0.0055 or x_2 <= -0.0055 ) or ( x_2 <= -0.0055 and x_2 <= -0.0055 ) ) or ( ( x_2 <= -0.0055 and x_2 <= -0.0555 ) or ( x_2 <= -0.0555 and x_2 <= -0.0555 ) ) ) until[25,30] ( ( ( x_0 <= -0.0555 or x_2 <= -0.0555 ) or ( x_2 <= -0.0555 and x_2 <= -0.0555 ) ) or ( ( x_2 <= -0.0555 and x_2 <= -0.0555 ) and ( x_2 <= -0.0555 until[29,34] x_2 <= -0.0555 ) ) ) )","(((x_2>= 0.6637orx_2>=-0.1997)and(x_2>=-0.1637orx_2>=-0.199))or((x_2>= 0.0667andx_2>=-0.199)and(x_2>=-0.0637andx_2>=-0.169)))until[10,12](((x_2>= 0.3637orx_2>=-0.399)or(x_2>=-0.3637andx_2<=-0.396))until[19,29]((x_2>=-0.6637orx_2>=-0.669)or(x_2>=-0.6637andx_2>=-0.669))))",( x_2 <= -0.9999 and x_2 <= 1.0929 ),"( eventually ( ( x_2 >= -0.8033 until[8,16] x_2 <= 1.1183 ) ) until ( x_0 <= 0.1554 or x_1 <= 1.0773 ) )"
( ( ( x_2 >= 0.7332 or x_2 >= 0.7332 ) or ( x_2 >= 0.6532 or x_2 >= 0.6532 ) ) and ( ( x_2 >= 0.6532 or x_2 >= 0.7232 ) and ( x_2 >= 0.7532 or x_2 >= 0.7232 ) ) ),"( ( ( x_2 >= 0.7155 or x_2 >= 0.7255 ) and ( x_2 >= 0.7255 or x_2 >= -0.2525 ) ) and ( ( x_2 >= 0.7255 or x_2 >= 0.7555 ) or ( x_2 >= 0.7555 until[12,20] x_2 >= -0.2555 ) ) )",((x_2>= 0.7111orx_2>= 0.7299)and(x_2>= 0.6631orx_2>= 0.6699))and((x_2>= 0.6631orx_2>= 0.6999)and(x_2>= 0.6933andx_2>= 0.6999))),"( x_2 >= 0.7223 until[1,16] x_2 >= 0.7923 )","( not ( x_2 <= 0.7741 ) until[8,16] ( eventually[15,21] ( x_0 >= 0.7168 ) or x_0 >= -2.1913 ) )"
