0,gold formula
"( x_2 >= 0.6229 and always[19,inf] ( ( x_1 <= -0.0229 until[19,21] x_2 >= 0.7223 ) ) )","( always[28,inf] ( eventually[3,23] ( ( not ( not ( eventually[20,inf] ( x_2 >= 0.7102 ) ) ) and not ( eventually[15,18] ( eventually[17,24] ( x_1 >= 0.0113 ) ) ) ) ) ) and ( not ( not ( ( not ( ( x_0 <= -0.6509 and x_2 >= 0.3576 ) ) or ( always[22,31] ( x_0 <= 1.0405 ) or always[32,36] ( x_2 <= 2.9237 ) ) ) ) ) until[4,18] ( ( not ( always[18,inf] ( always ( x_0 <= 0.0829 ) ) ) and ( not ( ( x_0 <= -1.0358 until[32,35] x_1 >= -0.0433 ) ) and always[23,35] ( ( x_2 >= 0.1061 and x_0 >= -0.0827 ) ) ) ) or eventually[30,32] ( ( not ( not ( x_2 <= -0.357 ) ) and not ( always ( x_0 >= -2.1774 ) ) ) ) ) ) )"
"( ( x_1 >= 0.6229 or x_2 <= 0.6229 ) or ( x_1 >= -0.0229 or ( x_1 >= 0.6229 or ( x_1 <= -0.2222 until[16,18] x_1 <= -0.2229 ) ) ) )","not ( ( ( not ( ( always[19,27] ( always[2,15] ( x_2 <= 1.0045 ) ) and eventually[19,29] ( ( x_2 <= 0.6213 or x_0 <= -1.3758 ) ) ) ) until not ( always ( ( ( x_0 <= -0.3774 or x_1 <= 0.9452 ) or ( x_0 >= 1.6558 and x_0 <= -0.2968 ) ) ) ) ) until[20,inf] not ( always ( always[10,35] ( always ( not ( x_1 <= -0.4334 ) ) ) ) ) ) )"
"( ( x_2 <= -0.2299 or x_0 >= -0.2229 ) or ( x_2 >= -0.2229 or ( x_2 >= -0.2229 until[19,21] x_2 <= -0.2229 ) ) )","always[11,inf] ( always[16,28] ( ( ( ( not ( always[3,20] ( x_2 >= -0.5987 ) ) and ( eventually[13,25] ( x_1 <= 0.0085 ) or ( x_1 <= -1.8364 or x_0 >= 0.4954 ) ) ) until[25,30] not ( ( always ( x_0 >= 0.7046 ) or ( x_1 <= -0.6362 and x_1 <= 1.9398 ) ) ) ) or ( ( ( ( x_0 <= 0.0871 or x_0 >= 0.2028 ) and ( x_1 <= -0.8521 until[18,inf] x_1 <= 0.0943 ) ) until[4,8] eventually[13,inf] ( ( x_2 >= -0.2336 or x_0 >= -1.3776 ) ) ) or ( ( always[19,29] ( x_2 <= -0.4098 ) or not ( x_2 <= 0.3467 ) ) or always[3,15] ( not ( x_0 <= -0.1341 ) ) ) ) ) ) )"
"( ( x_0 <= -0.6299 until[19,21] x_2 >= -0.4229 ) or ( x_2 >= -0.2229 until[16,18] x_2 >= -0.2922 ) )","eventually[7,inf] ( eventually[8,11] ( ( not ( ( ( ( x_2 <= 0.1173 and x_0 <= -0.9401 ) and not ( x_1 >= 1.3696 ) ) until[5,15] always[12,31] ( ( x_0 <= -0.5488 until[15,34] x_0 >= -1.0739 ) ) ) ) and ( ( always[12,19] ( ( x_1 >= 1.1153 and x_2 <= -0.2065 ) ) and always[6,8] ( eventually[28,inf] ( x_1 <= 0.0624 ) ) ) or ( always[23,27] ( not ( x_0 >= 0.0209 ) ) or eventually[18,21] ( ( x_2 >= -0.0799 until[25,inf] x_2 <= 2.5045 ) ) ) ) ) ) )"
"eventually[19,inf] ( ( x_1 <= 0.6222 or x_2 >= 0.2922 ) )","not ( always[15,17] ( always[23,31] ( ( not ( ( ( x_1 <= 0.4417 until[1,23] x_1 >= 0.4737 ) until not ( x_1 >= -1.4653 ) ) ) and ( eventually[6,21] ( not ( x_0 >= 1.032 ) ) and ( not ( x_2 >= 1.9005 ) until[19,24] ( x_1 >= 0.8116 and x_2 <= 0.2426 ) ) ) ) ) ) )"
"( ( x_1 >= -0.9222 or x_1 <= -0.9222 ) or ( x_0 >= -0.2922 until[19,21] ( x_0 >= -0.2222 until[19,21] x_1 <= -0.9922 ) ) )","always[29,35] ( always[7,31] ( not ( not ( ( eventually[13,22] ( ( x_0 >= 0.223 until[4,15] x_1 <= 1.2842 ) ) or ( ( x_2 >= -0.4738 until[12,21] x_2 <= 0.5003 ) or not ( x_1 <= -0.953 ) ) ) ) ) ) )"
"( ( x_1 <= 0.2229 until[19,21] x_1 <= 0.2229 ) until[19,21] ( x_0 >= -0.2222 or ( x_1 <= -0.0222 or x_2 <= -0.2222 ) ) )","always ( always[14,32] ( ( always[1,24] ( eventually ( eventually[4,inf] ( ( x_2 >= -0.4152 or x_1 <= 0.3262 ) ) ) ) and ( eventually ( ( ( x_1 <= 0.906 and x_0 >= -0.1461 ) and not ( x_1 <= 0.4139 ) ) ) or not ( ( eventually[22,26] ( x_0 >= -2.2088 ) or always[13,19] ( x_2 >= -1.0242 ) ) ) ) ) ) )"
"always[19,inf] ( x_0 <= -0.3529 )","always[21,32] ( not ( not ( always[13,inf] ( ( ( ( x_0 <= -0.3013 until[9,21] x_0 <= 0.4068 ) and ( x_0 <= 0.7039 and x_0 <= -0.3611 ) ) and not ( ( x_2 >= 0.9842 and x_0 >= 0.0785 ) ) ) ) ) ) )"
"( ( x_0 >= -0.1229 until[19,21] ( x_1 >= 0.1229 until[19,21] x_2 <= -0.8229 ) ) until[19,21] ( x_1 <= -0.1222 until[19,21] x_2 <= -0.8922 ) )","eventually[23,33] ( eventually[27,34] ( not ( ( eventually[9,19] ( ( not ( x_1 <= 0.3353 ) and ( x_2 <= 2.0583 or x_1 >= -0.4147 ) ) ) or not ( ( ( x_2 <= -1.0676 and x_0 >= 0.32 ) until[0,inf] ( x_0 <= 1.5477 until[28,34] x_1 >= 0.535 ) ) ) ) ) ) )"
"( x_1 <= -1.1929 and ( x_0 <= -2.0229 until[16,20] x_1 <= -0.6229 ) )","not ( ( eventually[17,20] ( ( ( ( ( x_1 >= -0.0986 until[31,33] x_0 <= -0.6436 ) and always[34,36] ( x_1 >= 0.2301 ) ) or ( ( x_0 >= -1.0266 and x_2 <= 0.2111 ) until[8,21] always[17,24] ( x_1 >= -0.2698 ) ) ) and always[16,24] ( not ( ( x_2 >= 0.6745 or x_1 <= -1.5586 ) ) ) ) ) or not ( always[1,5] ( ( ( ( x_2 >= -0.0074 until[27,inf] x_0 <= -1.1802 ) until[7,20] ( x_0 <= -0.6662 or x_1 <= -0.2763 ) ) and not ( ( x_0 >= -2.2432 or x_1 >= -1.4576 ) ) ) ) ) ) )"
"( x_2 >= -1.0229 or eventually[19,inf] ( x_2 >= 0.6929 ) )","eventually ( ( eventually[10,13] ( ( eventually[20,35] ( ( ( x_0 <= 2.4946 until[4,inf] x_1 >= 0.0175 ) until[8,inf] not ( x_0 <= 0.691 ) ) ) or not ( not ( eventually[15,19] ( x_2 >= 0.6332 ) ) ) ) ) and ( eventually[6,36] ( ( not ( always ( x_2 >= -0.1553 ) ) or ( always[7,13] ( x_0 >= 1.9398 ) and not ( x_0 >= 0.3836 ) ) ) ) or ( not ( not ( ( x_1 <= 0.9734 or x_2 >= -0.3533 ) ) ) or eventually[32,35] ( ( ( x_2 <= -1.5312 or x_1 <= 1.4161 ) or always[26,inf] ( x_2 >= -1.072 ) ) ) ) ) ) )"
"( ( x_0 <= -0.9229 or x_2 <= -0.2929 ) until[19,21] ( ( x_1 <= -0.2229 or x_1 <= -0.2229 ) until[19,21] ( x_1 <= -0.2229 or x_1 <= -0.2222 ) ) )","( eventually[23,25] ( not ( ( ( ( ( x_1 <= -0.5653 until[19,31] x_1 <= 0.2217 ) and always[16,27] ( x_0 >= 0.7669 ) ) or not ( ( x_1 <= -1.3857 until[34,36] x_2 >= -1.1994 ) ) ) and ( always[20,inf] ( eventually[17,24] ( x_2 >= -1.3576 ) ) and always[6,33] ( not ( x_1 >= 0.2051 ) ) ) ) ) ) until[6,17] always[4,inf] ( not ( ( not ( ( eventually[8,inf] ( x_1 <= 0.9277 ) and ( x_2 >= -1.2999 until[7,12] x_1 <= 0.4295 ) ) ) or not ( always[10,inf] ( ( x_0 <= -1.1506 or x_1 >= 1.2347 ) ) ) ) ) ) )"
"( x_1 >= -0.2229 until[19,21] ( x_1 >= 2.0222 until[16,20] x_1 >= -0.2222 ) )","always[19,27] ( not ( not ( ( ( ( ( x_0 >= -1.1741 or x_0 >= -0.0954 ) and ( x_1 >= 2.3859 until[11,28] x_2 <= 0.1477 ) ) and always[12,23] ( ( x_1 <= -0.2503 and x_2 >= -1.1835 ) ) ) until[4,12] ( not ( eventually[32,35] ( x_2 >= 1.5973 ) ) until ( ( x_1 <= -0.764 or x_1 >= 0.476 ) or not ( x_2 <= -0.166 ) ) ) ) ) ) )"
"always[19,inf] ( ( x_2 >= -0.6929 until[19,21] x_0 <= 0.1622 ) )","eventually[3,25] ( eventually ( not ( not ( always[6,25] ( always ( ( x_0 <= 0.2799 until[32,35] x_2 >= -0.7741 ) ) ) ) ) ) )"
"always[19,inf] ( ( x_2 >= 1.0023 until[19,21] x_2 >= 1.0023 ) )","always[32,inf] ( always[24,inf] ( always[9,inf] ( ( not ( eventually[16,31] ( not ( x_2 >= 1.0844 ) ) ) and not ( ( ( x_0 >= 0.0699 and x_1 <= -0.2886 ) until[13,34] ( x_2 >= -0.8078 or x_2 <= 0.4057 ) ) ) ) ) ) )"
"( x_2 >= 2.0229 until[19,21] ( x_1 <= -0.2229 until[19,21] x_1 <= 0.2222 ) )","( always[1,23] ( eventually[3,inf] ( always[25,inf] ( eventually ( ( ( x_1 >= -0.021 until[20,inf] x_2 >= 0.075 ) and not ( x_1 >= 0.3572 ) ) ) ) ) ) and always[34,36] ( eventually[0,2] ( eventually[23,31] ( not ( not ( not ( x_2 <= 2.4167 ) ) ) ) ) ) )"
"always[19,inf] ( x_0 <= 2.1224 )","always[10,16] ( not ( always[18,25] ( eventually[14,34] ( ( ( ( x_2 >= -1.1159 or x_1 <= -0.307 ) until[8,23] not ( x_0 <= 2.2781 ) ) and eventually[10,19] ( ( x_1 <= 2.3635 or x_1 >= 1.0227 ) ) ) ) ) ) )"
"( ( x_2 >= 1.6229 until[16,20] x_1 <= 0.2229 ) until[19,21] x_2 <= -0.2229 )","( ( not ( not ( ( ( ( x_0 <= 2.1931 until x_2 <= -0.4111 ) and not ( x_2 <= 1.0316 ) ) and not ( not ( x_0 <= 0.0464 ) ) ) ) ) until[12,27] not ( not ( eventually[9,16] ( ( ( x_0 >= -1.7036 and x_0 <= 1.1968 ) until ( x_0 <= -1.4808 or x_2 >= 1.0561 ) ) ) ) ) ) until[7,inf] not ( ( always[30,32] ( always ( ( ( x_2 <= 0.1254 until[16,inf] x_2 >= -1.0684 ) and ( x_1 <= 0.8436 and x_1 <= 0.3733 ) ) ) ) or always[2,9] ( not ( ( ( x_0 >= 0.1362 until[12,inf] x_1 >= 0.849 ) and ( x_2 >= 1.9132 until[10,inf] x_2 <= 0.6631 ) ) ) ) ) ) )"
"( ( x_2 >= -0.2299 or x_0 >= -0.9229 ) or ( x_2 >= -0.2229 or ( x_2 >= -0.2229 until[19,21] x_2 >= -0.2229 ) ) )","eventually ( not ( eventually[26,30] ( ( ( not ( ( x_2 >= -0.589 or x_0 >= -1.0117 ) ) until not ( eventually[11,36] ( x_0 >= -0.7861 ) ) ) and not ( always[5,30] ( always ( x_2 >= -0.1507 ) ) ) ) ) ) )"
"( x_2 <= 0.6229 or ( x_2 >= 0.5229 until[19,21] x_1 >= -0.6222 ) )","( always[11,20] ( not ( not ( ( ( not ( x_2 >= 0.442 ) or ( x_0 <= 0.8115 and x_2 >= 0.1728 ) ) or not ( ( x_1 <= 0.4503 or x_0 >= 0.343 ) ) ) ) ) ) until[28,inf] not ( eventually[6,inf] ( ( not ( ( ( x_0 <= 2.236 or x_1 >= 1.0077 ) or ( x_2 >= -1.45 and x_0 >= -0.5252 ) ) ) and ( always[12,inf] ( not ( x_2 >= 0.6313 ) ) and ( not ( x_1 >= 0.9369 ) and not ( x_1 >= 0.0682 ) ) ) ) ) ) )"
"( ( x_0 <= -0.5229 until[19,21] ( x_2 >= 0.9229 until[16,18] ( x_0 >= -0.9229 until[16,18] x_2 >= 0.9929 ) ) ) until[19,21] ( x_2 >= 0.9922 until[16,18] x_2 >= 0.9922 ) )","( not ( not ( eventually[12,inf] ( ( ( ( x_2 >= 1.5297 until[1,inf] x_0 <= -1.3263 ) and not ( x_0 >= -0.1729 ) ) and eventually[3,inf] ( always[16,inf] ( x_1 <= 0.61 ) ) ) ) ) ) until[34,inf] ( always ( not ( not ( ( ( x_2 <= 0.7697 or x_1 >= -1.0706 ) and not ( x_0 <= 0.9567 ) ) ) ) ) until[2,inf] eventually ( ( ( always ( ( x_2 >= -0.1702 until x_2 >= -0.2389 ) ) or not ( ( x_2 <= -0.7633 until[9,31] x_1 <= -0.3226 ) ) ) and always[17,21] ( not ( always ( x_0 <= -0.4897 ) ) ) ) ) ) )"
"eventually[19,inf] ( x_1 >= 0.0522 )","not ( not ( eventually[11,33] ( ( not ( not ( always[28,35] ( x_1 >= 0.1954 ) ) ) or ( ( ( x_1 <= 0.0235 and x_2 <= -1.7686 ) until[3,inf] not ( x_0 >= 0.481 ) ) or ( ( x_1 <= -1.1155 and x_1 >= 0.1321 ) and always[24,31] ( x_2 >= 1.2489 ) ) ) ) ) ) )"
"always[19,inf] ( ( x_0 >= -0.4923 and x_2 <= -0.6922 ) )","always[11,20] ( ( always ( always[3,inf] ( eventually[29,31] ( ( not ( x_2 >= -0.2561 ) and ( x_2 <= -0.7205 and x_0 >= -0.3723 ) ) ) ) ) until[1,inf] not ( ( ( ( ( x_2 >= -0.3478 or x_1 <= 0.3574 ) and ( x_1 <= -0.1269 until[3,16] x_1 >= 0.3294 ) ) and not ( ( x_1 <= -1.3631 and x_0 >= 1.496 ) ) ) until always ( not ( ( x_2 >= -1.2129 or x_2 <= 1.2651 ) ) ) ) ) ) )"
"always[19,inf] ( ( x_0 <= 1.2224 or x_0 <= 0.292 ) )","always ( always[0,21] ( ( not ( not ( always[33,inf] ( eventually[16,33] ( x_0 <= 1.147 ) ) ) ) or ( ( ( eventually[17,27] ( x_2 <= 0.3736 ) and not ( x_0 <= -0.1915 ) ) and not ( ( x_0 >= 1.3531 and x_1 >= 0.0828 ) ) ) or eventually[25,29] ( ( ( x_0 >= -0.0492 or x_1 >= -1.283 ) until[9,15] ( x_1 <= -1.092 until[4,27] x_0 >= 1.8975 ) ) ) ) ) ) )"
"always[19,inf] ( x_2 >= -0.4922 )","eventually[10,13] ( ( always ( always ( eventually[6,inf] ( always[0,18] ( eventually[1,13] ( x_2 >= -0.3911 ) ) ) ) ) and not ( ( always[14,20] ( not ( ( x_1 <= -0.9192 or x_1 <= -0.1751 ) ) ) and ( ( ( x_2 <= 1.3253 or x_2 <= 1.2064 ) and not ( x_2 >= -0.9198 ) ) and ( eventually[1,11] ( x_1 <= -1.5328 ) and ( x_2 >= -1.0509 or x_0 >= -1.5715 ) ) ) ) ) ) )"
"( ( x_0 >= -0.5299 until[19,21] x_2 >= 0.2229 ) until[19,21] ( x_2 <= 0.2229 or x_1 <= -0.6222 ) )","( not ( eventually[24,28] ( ( ( not ( ( x_2 >= 0.1211 or x_1 >= -0.2099 ) ) or not ( eventually[27,31] ( x_2 >= 0.072 ) ) ) or eventually[15,inf] ( ( ( x_1 <= 1.9558 or x_1 <= -0.8227 ) until[22,inf] ( x_1 >= 0.3674 and x_2 >= -0.3 ) ) ) ) ) ) until not ( not ( not ( ( ( eventually[5,24] ( x_2 <= 1.4305 ) or always[3,27] ( x_2 >= -0.4927 ) ) and ( ( x_2 >= 0.2149 and x_1 <= -0.4546 ) or not ( x_0 >= -0.5901 ) ) ) ) ) ) )"
"( x_0 >= -1.0922 until[19,inf] always[19,21] ( ( x_1 >= -0.9999 until[19,21] x_0 >= -0.3922 ) ) )","always ( always[31,33] ( ( always[3,9] ( ( always[31,inf] ( always[26,28] ( x_1 >= -0.8966 ) ) or ( ( x_2 <= -0.811 or x_2 <= 0.4898 ) and ( x_1 <= -0.1519 and x_2 >= 0.1169 ) ) ) ) and always[1,27] ( ( not ( eventually[28,31] ( x_0 <= -0.4143 ) ) and always[23,inf] ( not ( x_1 >= 2.0063 ) ) ) ) ) ) )"
"( x_0 <= 0.7229 or ( x_2 <= -0.2922 until[19,21] ( x_2 <= -0.2222 until[19,21] x_0 <= 0.8222 ) ) )","eventually[8,20] ( eventually[6,24] ( eventually ( always[0,25] ( ( eventually[7,24] ( ( x_0 >= 1.7562 or x_0 <= 0.9023 ) ) or ( ( x_0 <= -2.6494 until[4,20] x_1 >= 1.0126 ) or ( x_0 >= 1.5042 and x_2 <= -2.8496 ) ) ) ) ) ) )"
"( x_2 <= 0.0229 or ( x_2 >= -0.9929 or ( x_2 <= -0.9229 until[19,21] x_2 <= -0.9929 ) ) )","always[4,25] ( ( always[10,14] ( always[34,inf] ( ( not ( not ( x_1 >= 1.1194 ) ) or eventually ( not ( x_2 <= -0.7854 ) ) ) ) ) or ( always[0,27] ( not ( always[4,14] ( always[8,inf] ( x_2 >= 1.7502 ) ) ) ) and ( ( not ( eventually[2,23] ( x_2 >= 0.6796 ) ) and always[14,28] ( eventually[19,inf] ( x_1 <= 1.4825 ) ) ) or ( ( not ( x_0 >= -1.0472 ) until always[29,31] ( x_1 >= 2.1427 ) ) until[2,24] not ( ( x_2 <= 0.125 and x_0 >= -0.306 ) ) ) ) ) ) )"
"( ( x_2 >= -0.2229 until[19,21] x_1 <= -0.5222 ) until[19,21] x_0 >= -0.2923 )","always[28,36] ( ( eventually[2,26] ( ( ( not ( always[31,inf] ( x_0 <= -0.7042 ) ) and not ( not ( x_1 <= -0.4533 ) ) ) or ( ( not ( x_1 >= 0.4446 ) until[18,32] ( x_0 >= -0.2098 and x_1 <= -1.5712 ) ) and always ( ( x_1 <= -1.1196 until[27,34] x_1 <= 0.2504 ) ) ) ) ) and ( eventually ( ( not ( ( x_2 <= 0.4681 and x_1 <= 1.2936 ) ) and not ( ( x_1 >= 0.1866 until[0,23] x_0 <= -0.0478 ) ) ) ) until[4,7] ( eventually ( always[5,12] ( eventually[9,16] ( x_2 <= 0.1884 ) ) ) or not ( always[28,31] ( ( x_0 >= 0.2407 and x_0 <= -0.0131 ) ) ) ) ) ) )"
"always[19,inf] ( x_0 >= -1.2592 )","always[7,29] ( not ( not ( always[11,inf] ( ( ( always[19,inf] ( x_0 >= -1.2955 ) or ( x_1 >= 1.601 and x_0 <= -0.3596 ) ) or not ( eventually[0,10] ( x_1 <= 1.7616 ) ) ) ) ) ) )"
"( ( x_2 >= -0.6229 until[19,21] x_2 >= -0.6229 ) or ( x_0 <= -0.2929 until[19,21] x_2 >= 0.5922 ) )","always ( not ( ( ( ( not ( ( x_1 >= -0.4991 until[8,24] x_0 <= 2.3306 ) ) or ( ( x_2 <= -0.6025 or x_2 >= -0.8571 ) until[30,36] not ( x_1 <= -0.1375 ) ) ) or ( ( always[18,34] ( x_0 >= -1.1186 ) and always[34,36] ( x_0 >= -0.9512 ) ) or ( ( x_0 >= -0.6438 or x_2 <= -0.0205 ) until[13,35] not ( x_1 >= -0.799 ) ) ) ) and always ( ( ( eventually[18,22] ( x_0 >= 0.0443 ) or always[25,inf] ( x_2 >= -1.0336 ) ) until[7,33] not ( eventually ( x_2 >= 0.5817 ) ) ) ) ) ) )"
"( x_2 >= -0.2299 until[19,inf] ( x_0 >= 0.5222 until[19,21] x_2 >= 0.2922 ) )","( not ( ( not ( ( ( ( x_2 <= 0.4911 or x_1 <= -0.0427 ) or ( x_2 >= 0.0972 or x_0 >= -1.9517 ) ) and ( always[15,26] ( x_1 >= 1.8528 ) and ( x_0 <= 0.8283 until[14,16] x_1 <= -0.6499 ) ) ) ) until[10,inf] not ( not ( not ( ( x_1 >= -0.9935 or x_0 >= 0.5125 ) ) ) ) ) ) until[15,inf] not ( eventually[12,inf] ( not ( ( ( not ( x_0 <= 0.6043 ) until ( x_2 >= 0.2043 and x_1 >= -1.9054 ) ) and ( ( x_2 <= 0.0111 and x_2 <= -1.1634 ) or always[20,31] ( x_2 >= -0.2905 ) ) ) ) ) ) )"
