0,gold formula
"ventually[15,29](x_0<= 0.0224)","( x_0 <= 0.342 until[30,33] x_0 <= 0.1448 )"
x_0<=-0.7777andx_0<=-1.022),not ( x_0 >= -0.8578 )
"x_0>= 0.6894until[14,32]x_0>= 0.7287)","( x_0 <= 1.0719 until[17,inf] x_0 >= 0.8208 )"
"ventually[14,29](x_0>= 0.2777)","eventually[20,23] ( x_0 >= 0.4366 )"
(x_0>=-0.7777orx_0>=-1.2277)or(x_0>=-0.2777orx_0>=-0.2777)),"always[7,30] ( x_0 >= -1.5424 )"
x_0>=-0.006orx_0>=-0.0227),( x_0 <= -0.5257 or x_0 >= 0.0066 )
"(((x_0<= 0.2277until[24,34]x_2>= 0.2877)or(x_0>= 0.2877orx_2>= 0.2822))or((x_2>= 0.2214until[22,34]x_2<= 0.222)or(x_2>= 0.2274until[22,34]x_2<= 0.272)))or(((x_2<= 0.2714until[22,34]x_2<= 0.2722)or(x_2<= 0.2811until[22,34]x_2>= 0.2722))or((x_2<= 0.2811until[22,34]x_2>= 0.2822)or(x_2>= 0.2811andx_2>= 0.2822))))",( x_0 >= -0.1981 or x_0 <= 2.7269 )
"x_0>= 1.1214until[24,34]x_0>= 1.0277)","always[15,32] ( x_0 >= 1.2627 )"
x_0>=-1.0274orx_0>=-0.7777),not ( x_0 <= -1.2768 )
"x_0>= 0.7777until[24,36]x_0>= 1.0277)","( x_0 >= -0.749 until[7,35] x_0 >= 1.0427 )"
"ventually[24,34]((x_0>= 0.2777until[24,36]x_0>= 0.2777))",eventually ( x_0 >= 0.5476 )
"x_0>= 1.1214until[24,34]x_0>= 0.7777)","( x_0 >= 0.9652 until[26,28] x_0 >= 0.591 )"
x_0>=-0.7777orx_0>=-1.0277),not ( x_0 <= -1.1033 )
"x_0<=-1.0294until[14,31]x_0<=-0.7287)","( x_0 <= -1.3578 until[31,36] x_0 >= -1.0966 )"
x_0>=-0.2894andx_0>=-0.2877),"( x_0 >= -0.5611 until[32,36] x_0 <= 0.7521 )"
"x_0>=-0.1244until[14,29]x_0>= 0.2287)","( x_0 >= 0.2128 until[4,17] x_0 <= 0.0542 )"
x_0<= 1.0214orx_0<= 1.0277),"always[3,30] ( x_0 <= 1.4664 )"
x_0>= 1.0214andx_0>= 1.0277),not ( x_0 <= 1.7115 )
"(x_0>= 0.2874orx_0>=-0.2877)until[14,29](x_0>=-0.2877orx_0>=-0.2877))","( x_0 <= 0.4362 until[4,18] x_0 >= -1.1684 )"
"x_0>= 0.1214until[24,32]x_0>= 0.2777)","( x_0 >= 0.1686 until[16,23] x_0 >= -2.5471 )"
"(x_0>= 0.7777until[24,34]x_0>= 0.7777)or(x_1>= 0.7777orx_0>= 0.7777))",eventually ( x_0 >= 1.1686 )
x_0>= 0.061orx_0>=-0.0277),( x_0 >= 0.9216 or x_0 <= -0.1684 )
x_0<= 0.2854orx_0<= 0.5287),"eventually[7,11] ( x_0 <= 0.4108 )"
x_0<=-0.1254orx_0<=-0.2222),not ( x_0 >= -0.0552 )
x_0>=-0.6694andx_0>=-0.6777),( x_0 >= -0.714 until x_0 <= 0.6171 )
"lways[24,34](x_0<= 0.7777)","always[33,36] ( x_0 <= 0.6901 )"
"x_0<= 0.1254until[24,32]x_0<= 0.2227)","( x_0 <= 0.3786 until[25,inf] x_0 <= 0.0814 )"
"x_0>= 0.7894until[14,32]x_0>= 1.0287)","( x_0 <= 0.4868 until[5,17] x_0 >= 1.0913 )"
"x_0<= 0.2254until[24,34]x_0<= 0.282)","eventually[10,26] ( x_0 <= 0.277 )"
x_0<= 1.0254orx_0<= 0.7777),"always[4,18] ( x_0 <= 1.0672 )"
"ventually[14,29](x_0>= 0.2777)","( x_0 >= 0.2318 until[26,35] x_0 >= 0.4467 )"
"ventually[15,29](x_0<= 0.0224)","always[8,27] ( x_0 <= 0.2262 )"
x_0<= 0.1254orx_0<=-0.2224),not ( x_0 >= 0.05 )
"x_0<=-0.1254until[24,32]x_0<=-0.2227)","eventually[12,15] ( x_0 <= 0.022 )"
x_0>= 0.7774andx_0>= 1.0277),( x_0 >= 0.7687 and x_0 >= -1.5592 )
"ventually[24,32](x_0<=-0.0224)","eventually[16,35] ( x_0 <= -0.0293 )"
"x_0<=-0.1284until[15,29]x_0<=-0.222)",( x_0 <= 0.1081 and x_0 >= -2.2649 )
"x_0>=-0.1244until[14,29]x_0>= 0.2829)","( x_0 <= 0.0407 until[9,34] x_0 >= 0.3799 )"
x_0<=-1.0214andx_0<=-1.0277),"eventually[0,13] ( x_0 <= -1.8907 )"
"x_0>= 1.0284until[14,32]x_0>= 0.7287)","( x_0 >= 1.1635 until[29,34] x_0 <= 0.7664 )"
"(x_0<=-0.2254orx_0<=-0.222)until[24,32](x_0<=-0.2877orx_0<=-0.2822))","( x_0 >= -2.3989 until[5,26] x_0 <= -0.2262 )"
"x_0>=-1.0284until[14,32]x_0>=-1.0227)","( x_0 <= -1.9098 until[20,30] x_0 >= -0.1013 )"
x_0<= 0.7577orx_0<= 0.7777),"( x_0 <= 0.9384 until[25,34] x_0 <= 0.7143 )"
"ventually[14,29](x_0>= 0.2224)","( x_0 >= -1.1416 until[14,31] x_0 >= 0.3779 )"
"lways[24,34](x_0<= 1.0277)","eventually[26,32] ( x_0 <= 0.9181 )"
"x_0>=-0.1244until[14,29]x_0>=-0.2829)",( x_0 >= 0.2928 until x_0 <= -0.2601 )
x_0>= 0.628orx_0>= 0.6277),( x_0 <= 0.6022 or x_0 >= 0.6525 )
"lways[24,34](always[15,31](x_0<=-0.7777))","eventually[29,inf] ( x_0 <= -0.8235 )"
"lways[24,34](always[15,34](x_0<=-0.2277))",always ( x_0 <= -0.1948 )
x_0<=-0.2254orx_0<=-0.2227),not ( x_0 >= -0.1906 )
x_0<= 0.1254orx_0<=-0.2224),not ( x_0 >= 0.058 )
"x_0>= 0.7777until[24,36]x_0>= 1.0277)","eventually[4,34] ( x_0 >= 0.9149 )"
x_0<= 0.1254orx_0<= 0.2224),not ( x_0 >= 0.1439 )
x_0>= 1.0114andx_0>= 0.5777),"( x_0 >= 0.9927 until[0,inf] x_0 >= -1.1414 )"
x_0<= 0.2254orx_0<= 0.2227),not ( x_0 >= 0.2958 )
"x_0>= 1.0244until[14,32]x_0>= 0.7287)","( x_0 >= 1.0618 until[8,30] x_0 <= 1.2842 )"
"x_0>= 1.0284until[14,32]x_0>= 1.0287)","( x_0 <= -0.0803 until[20,24] x_0 >= 1.8714 )"
"x_0>= 0.0244until[14,29]x_0>= 0.2287)",( x_0 <= 0.4175 and x_0 >= 0.0683 )
"x_0>=-0.7999until[14,32]x_0>=-0.7287)",( x_0 >= -0.3045 and x_0 <= -0.9423 )
x_0<= 0.7577orx_0<= 0.7777),not ( x_0 >= 0.7149 )
x_0<= 1.0214orx_0<= 0.7777),( x_0 <= 1.2203 or x_0 <= -1.5852 )
"lways[24,34](always[15,34](x_0<= 0.5777))",always ( x_0 <= 0.6848 )
"x_0>=-0.1244until[14,32]x_0>=-0.2277)",( x_0 <= 0.0059 and x_0 >= -0.9884 )
"(((x_0<=-0.2877until[24,34]x_2>=-0.2877)or(x_0>=-0.2873orx_2>=-0.2877))or((x_0>=-0.2873until[22,34]x_2>=-0.287)or(x_0>=-0.2873until[22,34]x_2>=-0.287)))or(((x_2<=-0.277orx_2<=-0.287)or(x_2<=-0.2773until[22,34]x_2>=-0.287))or((x_2<=-0.2771until[28,36]x_2<=-0.287)and(x_2<=-0.2899until[28,36]x_2<=-0.287))))",eventually ( x_0 >= -1.344 )
x_0>=-0.7777orx_0>=-1.0277),not ( x_0 <= -0.9132 )
x_0<= 0.7577orx_0<= 0.7777),not ( x_0 >= 0.561 )
"(x_0<=-0.7777until[24,34]x_0<=-1.0227)and(x_0<=-0.2877orx_0<=-0.2822))","always[19,30] ( x_0 <= -1.5076 )"
"lways[24,34](x_0<=-0.5777)","always[31,36] ( x_0 <= -0.5845 )"
"x_0>= 0.2244until[24,32]x_0>= 0.2777)","( x_0 >= 0.3439 until[7,20] x_0 >= -0.5725 )"
x_0>=-0.1214orx_0>=-0.2277),( x_0 >= -1.1434 and x_0 >= -0.1558 )
"x_0>= 0.2244until[24,32]x_0>= 0.2777)","eventually[5,14] ( x_0 >= 0.4076 )"
"lways[15,29](x_0<=-0.2227)","always[22,31] ( x_0 <= -0.4202 )"
"x_0<=-1.0214until[14,31]x_0<=-1.0277)","eventually[4,19] ( x_0 <= -2.0194 )"
(x_0<= 1.0214orx_0<= 0.7277)or(x_0<= 1.2714orx_0<= 0.2727)),"eventually[32,36] ( x_0 <= 1.7709 )"
"x_0>=-1.0284until[14,32]x_0>=-0.7287)",( x_0 <= -1.6995 until x_0 >= -0.0814 )
(x_0>=-0.7777orx_0>=-1.022)or(x_0>=-0.2777orx_0>=-0.277)),( x_0 <= -1.1863 or x_0 >= -1.5362 )
(x_0>=-0.224orx_0>=-0.2277)or(x_0>=-0.2294orx_0>=-0.222)),( x_0 >= -1.2477 or x_0 <= 0.2623 )
"(x_0>=-0.1244until[24,32]x_0<=-0.2877)until[15,29](x_0<=-0.2877orx_0<=-0.282))","( x_0 <= -0.0225 until[27,36] x_0 >= -1.367 )"
(x_0<= 0.7777orx_0<= 1.0227)or(x_0<= 0.2777orx_0<= 0.7277)),"eventually[10,31] ( x_0 <= 1.3561 )"
x_0<=-0.2254andx_0<=-0.2227),not ( x_0 >= -0.2683 )
"lways[22,inf](always[15,29](always[15,29]((x_0<=-0.2877orx_0<=-0.2222)))))","always[29,inf] ( x_0 <= 0.0949 )"
"(x_0<=-0.7777until[24,34]x_0<=-0.7777)or(x_0<=-0.7777orx_0<=-0.7282))","eventually[20,inf] ( x_0 <= -1.1999 )"
(x_0<= 1.0214orx_0<= 0.7227)or(x_0<= 1.2214orx_0<= 1.2227)),( x_0 <= 1.3956 or x_0 <= 1.865 )
x_0<= 0.1254orx_0<=-0.2224),not ( x_0 >= 0.0548 )
"(((x_0<= 0.7777until[24,34]x_2<= 0.7777)or(x_0<= 0.7777orx_2>= 0.2822))or((x_2>= 0.2814until[22,34]x_2<= 0.282)or(x_2>= 0.2814until[22,34]x_2<= 0.2822)))or(((x_2<= 0.2818until[22,34]x_2<= 0.2822)or(x_2<= 0.2811until[22,34]x_2>= 0.2822))or((x_2<= 0.2871until[22,34]x_2>= 0.2872)or(x_2>= 0.2871until[24,36]x_2>= 0.2877))))","eventually[5,inf] ( x_0 <= 1.7969 )"
x_0>= 0.7774andx_0>= 1.0277),"( x_0 >= -0.9501 until[0,10] x_0 >= 0.8653 )"
"lways[15,31](x_0<=-0.7777)","( x_0 <= 1.7018 until[32,35] x_0 <= -0.7979 )"
"(((x_0<=-0.2877until[24,34]x_2>=-0.2877)or(x_0>=-0.2873orx_2>=-0.2877))or((x_0>=-0.2873until[22,34]x_2>=-0.287)or(x_2<=-0.2873until[22,34]x_2>=-0.287)))or(((x_2<=-0.277orx_2<=-0.287)or(x_2<=-0.2773until[22,34]x_2<=-0.287))or((x_2<=-0.2771until[28,36]x_2<=-0.287)and(x_2<=-0.2899until[28,36]x_2<=-0.287))))","eventually[16,inf] ( x_0 >= -1.478 )"
"ventually[22,34](x_0>=-0.0277)","eventually[31,34] ( x_0 >= -0.2849 )"
x_0>=-0.1274orx_0>=-0.2777),not ( x_0 <= -0.4645 )
x_0>= 0.061orx_0>=-0.0227),( x_0 >= 0.0991 or x_0 <= 0.4048 )
"x_0>=-0.1244until[14,32]x_0>=-0.2877)",( x_0 <= 0.2982 and x_0 >= -0.6259 )
x_0>= 0.7774andx_0>= 1.0277),not ( x_0 <= 0.8497 )
x_0<= 1.0254orx_0<= 0.7777),( x_0 <= -0.917 or x_0 <= 1.0346 )
"x_0>= 0.2894until[14,32]x_0>= 0.2887)","( x_0 <= -0.0955 until[25,35] x_0 >= 0.805 )"
"x_0<=-0.1254until[24,32]x_0<=-0.2227)","always[4,25] ( x_0 <= 0.0109 )"
x_0>=-0.061orx_0>=-0.0277),( x_0 >= -0.3931 or x_0 <= -0.3073 )
"x_0>= 0.1814until[14,32]x_0>= 0.2877)","( x_0 <= 1.0669 until[14,29] x_0 >= -0.1237 )"
x_0<= 1.0214orx_0<= 1.0277),( x_0 <= 1.389 or x_0 <= -0.7404 )
"ventually[22,29](x_0>=-0.0227)","( x_0 >= -0.4368 until[22,36] x_0 >= -0.1266 )"
"x_0>= 0.2874until[24,36]x_0>= 0.5777)","always[1,11] ( x_0 >= 0.4637 )"
x_0>=-0.1214orx_0>=-0.2227),( x_0 >= 0.0298 until x_0 >= -1.0372 )
"ventually[15,29](x_0<=-0.2727)","eventually[12,35] ( x_0 <= -0.5312 )"
"x_0>= 1.1214until[14,32]x_0>= 1.2277)","always[8,13] ( x_0 >= 1.9941 )"
"x_0>=-0.7999until[14,32]x_0>=-1.0228)","( x_0 <= -1.0375 until[21,inf] x_0 >= -0.0367 )"
x_0>=-0.1214orx_0>=-0.2227),( x_0 >= -0.2586 and x_0 >= -0.0985 )
x_0>= 0.061orx_0>= 0.0227),( x_0 >= 0.2548 or x_0 <= 0.3482 )
x_0<=-1.0254andx_0<=-0.7777),not ( x_0 >= -1.2496 )
x_0<= 0.7777orx_0<= 1.0277),( x_0 <= -0.5482 or x_0 <= 0.8794 )
x_0<=-1.0254andx_0<=-0.7777),"eventually[5,9] ( x_0 <= -1.3049 )"
"x_0<=-0.7577until[15,31]x_0<=-0.7777)","( x_0 <= 0.3595 until[6,19] x_0 <= -0.8305 )"
(x_0<= 1.2214orx_1>= 1.222)or(x_0<= 1.2277orx_1<= 1.2222)),( x_0 >= -1.6076 and x_0 <= 1.4481 )
x_0>= 1.0214andx_0>= 1.0277),( x_0 >= 0.365 and x_0 >= 1.4319 )
x_0>=-0.1214orx_0>=-0.2277),( x_0 >= -0.5456 and x_0 >= -0.2239 )
x_0<= 1.0214orx_0<= 1.2277),( x_0 <= -0.3657 or x_0 <= 1.7635 )
x_0>= 1.0114andx_0>= 1.0277),"eventually[5,18] ( x_0 >= 1.3727 )"
(x_0>= 0.2274orx_0>= 0.2277)or(x_0>= 0.2874orx_0>= 0.282)),( x_0 >= 0.3395 or x_0 <= 0.8531 )
x_0>= 0.2244andx_0>= 0.2777),( x_0 >= 0.4353 and x_0 >= -0.1902 )
"x_0>= 0.2814until[14,32]x_0>= 0.2877)",( x_0 <= 0.7211 and x_0 >= 0.3533 )
x_0<=-0.7577andx_0<=-0.7777),( x_0 <= -0.7448 or x_0 <= -1.2325 )
x_0<=-0.2254andx_0<=-0.2227),not ( x_0 >= -0.217 )
"lways[24,34]((x_0<= 1.0277orx_0<= 0.7777))","eventually[14,inf] ( x_0 <= 1.0964 )"
"x_0>=-0.8899until[14,29]x_0>=-1.0228)",( x_0 >= 0.7918 and x_0 <= -1.1125 )
"x_0>=-0.2894until[14,32]x_0>=-0.7287)","( x_0 >= 0.8283 until[18,23] x_0 <= -0.7493 )"
(x_0<= 1.0214orx_0<= 0.7277)or(x_0<= 1.2714orx_0<= 0.2727)),"eventually[9,33] ( x_0 <= 1.7671 )"
"(x_0>= 0.7777until[24,34]x_0>= 1.0287)until[22,34](x_1>= 0.2877orx_0>= 0.2877))","always[3,inf] ( x_0 >= 1.2968 )"
x_0>= 0.2874andx_0>= 0.5777),not ( x_0 <= 0.4932 )
"(x_0>= 1.1214andx_0>= 1.2227)until[24,32](x_1>= 0.2811andx_0>= 1.2227))",eventually ( x_0 >= 2.1347 )
(x_0>=-0.7777orx_0>=-1.2277)or(x_0>=-0.2777orx_0>=-0.2777)),"eventually[25,29] ( x_0 >= -1.5211 )"
"ventually[22,29](x_0>=-0.0227)","eventually[14,27] ( x_0 >= -0.1577 )"
x_0<= 1.0254orx_0<= 0.7777),not ( x_0 >= 1.0335 )
x_0>= 1.0214andx_0>= 1.0277),not ( x_0 <= 1.413 )
x_0<= 0.7777orx_0<= 1.0277),( x_0 <= 0.4939 or x_0 <= 0.8918 )
x_0>=-1.0274orx_0>=-0.2777),( x_0 >= 1.6367 or x_0 <= -0.6335 )
"(x_0<=-1.0277andx_0<=-0.7287)until[24,32](x_0<=-0.7777orx_0<=-1.2222))","always[21,28] ( x_0 <= -1.6669 )"
"x_0>= 0.0244until[14,29]x_0>= 0.2287)",( x_0 >= 0.0246 and x_0 <= 0.5103 )
"ventually[15,29](x_0<= 0.0224)","eventually[11,34] ( x_0 <= 0.139 )"
"ventually[24,34](x_0>=-0.2777)","eventually[18,20] ( x_0 >= -0.5513 )"
x_0<=-1.0214andx_0<=-1.0277),not ( x_0 >= -1.825 )
"x_0>= 1.0284until[14,32]x_0>= 1.0287)",( x_0 <= 0.2309 and x_0 >= 1.7485 )
x_0<=-0.2254andx_0<=-0.2227),not ( x_0 >= -0.327 )
x_0<=-1.0214andx_0<=-1.0277),not ( x_0 >= -1.9523 )
"x_0>=-0.6694until[14,31]x_0>=-1.0277)",( x_0 >= -0.9224 and x_0 <= 0.699 )
"x_0<=-0.7777until[15,31]x_0<=-1.0227)","eventually[10,14] ( x_0 <= -0.9213 )"
x_0<=-1.0214andx_0<=-1.0277),( x_0 <= -1.7713 and x_0 <= -1.0787 )
x_0>= 0.061orx_0>= 0.0277),( x_0 >= 0.4638 or x_0 <= 0.3642 )
x_0>=-0.1214orx_0>=-0.2227),not ( x_0 <= -0.103 )
"x_0<=-1.0254until[15,31]x_0<=-0.7277)","eventually[10,16] ( x_0 <= -1.285 )"
"lways[24,34](always[15,34](x_0<=-0.2777))",always ( x_0 <= -0.3685 )
"x_0>= 0.1814until[14,32]x_0>= 0.6287)",( x_0 <= 1.1651 and x_0 >= -0.206 )
"ventually[24,34]((x_0>=-0.7777orx_0>=-1.0277))","eventually[33,35] ( x_0 >= -1.0731 )"
x_0<=-1.0254andx_0<=-0.7777),( x_0 <= -1.1104 and x_0 <= 0.9874 )
"ventually[22,34](x_0>=-0.0277)","always[22,27] ( x_0 >= -0.3666 )"
"ventually[24,34](x_0>= 0.4777)","always[27,31] ( x_0 >= 0.5526 )"
"ventually[24,32](x_0<=-0.0224)",( x_0 <= 1.515 until x_0 <= -0.2341 )
"ventually[22,29](x_0>=-0.0227)","eventually[2,35] ( x_0 >= 0.0835 )"
"lways[24,32](x_0<=-0.0224)","eventually[34,36] ( x_0 <= -0.2134 )"
(x_0>= 0.224orx_0>= 0.222)or(x_0>= 0.2294orx_0>=-0.222)),( x_0 <= 0.8199 or x_0 >= -0.4225 )
"ventually[24,34](eventually[15,29](((x_0<=-0.2877orx_0<=-0.2287)or(x_0<=-0.2884orx_2<=-0.228))))","eventually[26,inf] ( x_0 <= -0.112 )"
"lways[22,34](always[15,34](always[15,32]((x_0>= 0.2877orx_0>= 0.2777))))","always[10,inf] ( x_0 >= 0.105 )"
"x_0>=-0.0244until[14,29]x_0>=-0.2229)",( x_0 >= -0.2936 and x_0 <= -0.0065 )
"lways[15,29](x_0<=-0.4277)","( x_0 <= -0.3797 until[30,inf] x_0 <= 0.7244 )"
x_0<=-1.0254andx_0<=-0.7777),not ( x_0 >= -1.1305 )
"ventually[24,32]((x_0>= 0.1274orx_0>= 0.2777))",eventually ( x_0 >= 0.462 )
"x_0<= 0.1254until[24,32]x_0<= 0.2227)","eventually[11,23] ( x_0 <= 0.123 )"
"x_0>= 1.0114until[24,36]x_0>= 0.7777)","( x_0 >= 0.2964 until[5,inf] x_0 >= 1.1228 )"
"x_0>=-0.6899until[14,32]x_0>=-0.7287)",( x_0 <= -0.8514 and x_0 >= -0.0833 )
x_0<= 0.7777orx_0<= 1.0277),( x_0 <= 0.8369 or x_0 >= 1.6789 )
x_0>=-0.7777orx_0>=-0.7777),not ( x_0 <= -0.8644 )
"lways[24,34]((x_0<=-1.0277until[24,34]x_0<=-0.7777))","always[34,inf] ( x_0 <= -1.1097 )"
x_0>= 0.7774andx_0>= 1.0277),not ( x_0 <= 0.7566 )
"ventually[12,25](x_0>= 0.0227)","( x_0 >= -1.0614 until[17,20] x_0 >= 0.2149 )"
(x_0>=-0.7777orx_0>=-0.7777)or(x_0>=-0.7777orx_0>=-0.7777)),"always[11,21] ( x_0 >= -1.0894 )"
(x_0>=-1.1214orx_0>=-0.7277)or(x_0>=-1.2277orx_0>=-0.2777)),( x_0 >= -1.0998 or x_0 >= -1.8977 )
"(((x_0<= 0.7777until[24,34]x_2<= 0.7277)or(x_2>= 0.7777orx_2>= 0.2822))or((x_2>= 0.2814until[22,34]x_2<= 0.282)or(x_2<= 0.2714until[22,34]x_2<= 0.2722)))or(((x_2<= 0.2714until[22,34]x_2<= 0.2722)or(x_2<= 0.2711until[22,34]x_2>= 0.2722))or((x_2<= 0.2811until[22,34]x_2<= 0.2822)and(x_2>= 0.2811until[24,36]x_2>= 0.2872))))","eventually[13,inf] ( x_0 <= 2.689 )"
x_0<=-1.0254andx_0<=-0.7277),not ( x_0 >= -1.0921 )
"lways[24,34](always[15,34](x_0<= 0.7777))",always ( x_0 <= 0.7643 )
"ventually[24,32](x_0<=-0.0224)","always[19,35] ( x_0 <= 0.127 )"
"ventually[24,32](x_0>=-0.1777)","( x_0 >= -0.4898 until[27,inf] x_0 >= -0.4154 )"
x_0>=-0.1274orx_0>=-0.2777),not ( x_0 <= -0.3773 )
